,ZIPcode5,PropertyLocation,TotalValue,SQFTmain,Bedrooms,Bathrooms,EffectiveYearBuilt,rowID,RecordingDate,house_type,pool,coordinates
145293,90003,417 W 94TH ST  LOS ANGELES CA  90003,$316200.00,1337,4,2,1930,20176039005015,2016-06-22,house,no,"(33.951269340000003, -118.28128051)"
145320,90044,542 W 91ST ST  LOS ANGELES CA  90044,$406980.00,1360,3,2,1976,20176039016010,2016-06-02,house,no,"(33.953912950000003, -118.28414008)"
145321,90044,560 W 91ST ST  LOS ANGELES CA  90044,$58501.00,1380,2,2,1937,20176039016014,2016-06-13,house,no,"(33.953910659999998, -118.28470890000001)"
145322,90044,555 W 92ND ST  LOS ANGELES CA  90044,$4773600.00,26743,17,46,1970,20176039016029,2016-06-24,house,no,"(33.953332570000001, -118.2841564)"
145329,90044,812 W 92ND ST  LOS ANGELES CA  90044,$43604.00,1458,2,2,1946,20176039018038,2016-06-03,house,no,"(33.952529849999998, -118.28992710999999)"
145333,90003,143 W 84TH PL  LOS ANGELES CA  90003,$357000.00,1408,4,2,1962,20176040001006,2016-06-07,house,no,"(33.962625019999997, -118.27533549)"
145350,90003,200 W 85TH PL  LOS ANGELES CA  90003,$306000.00,1030,2,1,1934,20176040010010,2016-06-27,house,no,"(33.96061383, -118.27623214)"
145404,90003,141 W 92ND ST  LOS ANGELES CA  90003,$561000.00,3150,8,4,2013,20176040035012,2016-06-08,house,no,"(33.953082610000003, -118.27533767)"
145426,90003,159 E 87TH PL  LOS ANGELES CA  90003,$236248.00,1848,4,2,1957,20176041002013,2016-06-29,house,no,"(33.958345350000002, -118.27181921)"
145431,90003,147 E 88TH PL  LOS ANGELES CA  90003,$326400.00,1920,4,2,1960,20176041004015,2016-06-01,house,no,"(33.956689519999998, -118.27221686999999)"
145432,90003,139 E 88TH PL  LOS ANGELES CA  90003,$214326.00,1040,3,1,1926,20176041004017,2016-06-03,house,no,"(33.956688219999997, -118.27248066)"
145450,90003,9009 S SAN PEDRO ST  LOS ANGELES CA  90003,$340680.00,1080,4,1,1985,20176041010005,2016-06-20,house,no,"(33.954265040000003, -118.26981977)"
145453,90003,219 E 91ST ST  LOS ANGELES CA  90003,$265200.00,816,2,1,1927,20176041010051,2016-06-01,house,no,"(33.954043970000001, -118.27103246)"
145459,90003,215 E 87TH ST  LOS ANGELES CA  90003,$386034.00,3148,3,4,1952,20176041016017,2016-06-01,house,no,"(33.959373669999998, -118.27112532)"
145482,90002,715 E 87TH ST  LOS ANGELES CA  90002,$247159.00,1358,4,2,1924,20176042003034,2016-06-23,house,no,"(33.958596020000002, -118.26241898000001)"
145485,90002,718 E 87TH PL  LOS ANGELES CA  90002,$561000.00,3066,9,6,2011,20176042005010,2016-06-01,house,no,"(33.958064759999999, -118.26228868)"
145496,90002,629 E 90TH ST  LOS ANGELES CA  90002,$279926.00,960,4,1,1924,20176042009012,2016-06-16,house,no,"(33.954960139999997, -118.26411145)"
145503,90002,719 E 91ST ST  LOS ANGELES CA  90002,$229500.00,944,1,1,1935,20176042011021,2016-06-10,house,no,"(33.954078449999997, -118.26226927)"
145518,90002,832 E 91ST ST  LOS ANGELES CA  90002,$62788.00,1556,2,2,1951,20176042015022,2016-06-24,house,no,"(33.953544379999997, -118.25960743)"
145528,90002,843 E 88TH PL  LOS ANGELES CA  90002,$33533.00,1608,4,2,1925,20176042019005,2016-06-28,house,no,"(33.956772579999999, -118.25927982)"
145529,90002,839 E 88TH PL  LOS ANGELES CA  90002,$98144.00,1616,4,3,1959,20176042019006,2016-06-27,house,no,"(33.956771940000003, -118.25941173)"
145566,90002,1135 E 87TH PL  LOS ANGELES CA  90002,$39226.00,1472,4,2,1945,20176043002026,2016-06-02,house,no,"(33.958612520000003, -118.25512242000001)"
145568,90002,8751 HOOPER AVE  LOS ANGELES CA  90002,$326400.00,1146,2,1,1930,20176043003001,2016-06-15,house,no,"(33.958208910000003, -118.25431171)"
145572,90002,1116 E 88TH ST  LOS ANGELES CA  90002,$20855.00,980,4,1,1920,20176043004013,2016-06-13,house,no,"(33.957183499999999, -118.25578353)"
145589,90002,1250 E 88TH ST  LOS ANGELES CA  90002,$153583.00,1374,4,2,1947,20176043013005,2016-06-10,house,no,"(33.957172810000003, -118.25225315)"
145592,90002,1248 E 87TH PL  LOS ANGELES CA  90002,$312120.00,909,2,1,1953,20176043014006,2016-06-10,house,no,"(33.958091299999992, -118.25224981)"
145595,90002,1250 E 87TH ST  LOS ANGELES CA  90002,$289169.00,1381,3,2,1961,20176043015006,2016-06-30,house,no,"(33.958998999999999, -118.25224854)"
145688,90002,8916 BANDERA ST  LOS ANGELES CA  90002,$28887.00,1044,3,1,1961,20176044022018,2016-06-14,house,no,"(33.955286700000002, -118.23930310999999)"
145705,90002,8632 HICKORY ST  LOS ANGELES CA  90002,$122400.00,336,1,1,1908,20176045004011,2016-06-14,house,no,"(33.958901609999998, -118.23480327999999)"
145715,90002,8729 HICKORY ST  LOS ANGELES CA  90002,$213180.00,750,2,1,1953,20176045010015,2016-06-28,house,no,"(33.957401079999997, -118.23544806)"
145722,90002,9105 S FIR AVENUE  LOS ANGELES CA  90002,$413100.00,2166,4,4,2016,20176045014053,2016-06-23,house,no,"(33.953817880000003, -118.23773899)"
145725,90002,2001 E 92ND ST  LOS ANGELES CA  90002,$331500.00,2341,6,4,1988,20176045015005,2016-06-29,house,no,"(33.953550700000001, -118.2360415)"
145736,90002,9405 ANZAC AVE  LOS ANGELES CA  90002,$326400.00,1129,3,2,1959,20176046001033,2016-06-29,house,no,"(33.951508060000002, -118.23774106)"
145740,90002,9321 HICKORY ST  LOS ANGELES CA  90002,$88121.00,1930,4,2,1902,20176046003036,2016-06-22,house,no,"(33.951781680000003, -118.23546409999999)"
145749,90002,9227 JUNIPER ST  LOS ANGELES CA  90002,$189433.00,1127,3,2,1938,20176046005030,2016-06-22,house,no,"(33.952281839999998, -118.23318527000001)"
145762,90002,9521 JUNIPER ST  LOS ANGELES CA  90002,$348840.00,1540,4,2,1967,20176046012024,2016-06-09,house,no,"(33.94971717, -118.23320047)"
145767,90002,9546 GRAPE ST  LOS ANGELES CA  90002,$328918.00,1419,3,2,0,20176046014009,2016-06-20,house,no,"(33.949172310000002, -118.23597424)"
145769,90002,9527 HICKORY ST  LOS ANGELES CA  90002,$255000.00,1028,3,1,1957,20176046014029,2016-06-15,house,no,"(33.949694700000002, -118.23547653999999)"
145770,90002,9611 HICKORY ST  LOS ANGELES CA  90002,$293760.00,1216,3,2,1999,20176046014037,2016-06-09,house,no,"(33.948793389999999, -118.23548191)"
145797,90044,1125 W 87TH ST  LOS ANGELES CA  90044,$285319.00,2748,1,5,1938,20176047003019,2016-06-24,house,no,"(33.959255259999999, -118.29478165)"
145801,90044,1119 W 88TH ST  LOS ANGELES CA  90044,$350340.00,2044,4,2,1940,20176047004040,2016-06-30,house,no,"(33.958211400000003, -118.29461723999999)"
145815,90044,1260 W 88TH ST  LOS ANGELES CA  90044,$269641.00,1116,3,1,1921,20176047008015,2016-06-02,house,no,"(33.957620339999998, -118.29793783)"
145820,90044,1119 W 89TH ST  LOS ANGELES CA  90044,$428400.00,1307,4,2,1963,20176047009032,2016-06-07,house,no,"(33.957167390000002, -118.29455176)"
145822,90044,1035 W 89TH ST  LOS ANGELES CA  90044,$330759.00,2822,6,5,1965,20176047009045,2016-06-13,house,no,"(33.957171070000001, -118.29323436)"
145826,90044,1135 W 90TH ST  LOS ANGELES CA  90044,$99486.00,3430,6,6,1965,20176047010042,2016-06-03,house,no,"(33.956112210000001, -118.29504274999999)"
145835,90044,1215 W 90TH PL  LOS ANGELES CA  90044,$351900.00,1104,5,2,1930,20176047014022,2016-06-08,house,no,"(33.955275829999998, -118.29656701)"
145846,90044,1334 W 91ST ST  LOS ANGELES CA  90044,$346800.00,1724,3,2,1945,20176047018008,2016-06-02,house,no,"(33.953828420000001, -118.29939482)"
145848,90044,1317 W 92ND ST  LOS ANGELES CA  90044,$438600.00,2041,4,4,1952,20176047018024,2016-06-30,house,no,"(33.953458519999998, -118.29886469)"
145860,90002,1474 E 92ND ST  LOS ANGELES CA  90002,$459000.00,2674,8,4,1959,20176048001017,2016-06-24,house,no,"(33.952970209999997, -118.24797128)"
145862,90002,9223 FIRTH BLVD  LOS ANGELES CA  90002,$305099.00,1400,6,4,2001,20176048001033,2016-06-21,house,no,"(33.952618790000002, -118.24790238)"
145875,90002,1452 E 96TH ST  LOS ANGELES CA  90002,$343740.00,1380,4,2,1952,20176048007001,2016-06-02,house,no,"(33.948953119999999, -118.24871640000001)"
145888,90002,1451 E 101ST ST  LOS ANGELES CA  90002,$346800.00,1981,4,2,1952,20176048010041,2016-06-29,house,no,"(33.94531894, -118.24889109)"
145896,90002,9714 DEFIANCE AVE  LOS ANGELES CA  90002,$91800.00,0,0,0,0,20176048017020,2016-06-09,house,no,"(33.947595899999996, -118.2450496)"
145898,90002,9710 DEFIANCE AVE  LOS ANGELES CA  90002,$147900.00,698,2,1,1915,20176048017022,2016-06-09,house,no,"(33.94776057, -118.24505032)"
145929,90002,9618 GRAHAM AVE  LOS ANGELES CA  90002,$326400.00,1759,4,3,1950,20176048026022,2016-06-29,house,no,"(33.948437980000001, -118.24268827)"
145941,90002,9608 BEACH ST  LOS ANGELES CA  90002,$267240.00,944,2,1,1920,20176048031044,2016-06-02,house,no,"(33.948771710000003, -118.24165239)"
145946,90002,9227 BANDERA ST  LOS ANGELES CA  90002,$290700.00,1126,3,1,1935,20176048033022,2016-06-01,house,no,"(33.952436480000003, -118.23995782)"
145951,90002,1820 E 97TH ST  LOS ANGELES CA  90002,$406980.00,2210,5,3,1942,20176048035030,2016-06-24,house,no,"(33.948036850000001, -118.23988287)"
145959,90002,9518 BANDERA ST  LOS ANGELES CA  90002,$397800.00,2965,4,3,1993,20176048039034,2016-06-16,house,no,"(33.949971419999997, -118.23927758000001)"
145979,90002,9326 BAIRD AVE  LOS ANGELES CA  90002,$95631.00,2128,5,2,1934,20176049006001,2016-06-20,house,no,"(33.95139416, -118.25177456999999)"
145993,90002,9515 PARMELEE AVE  LOS ANGELES CA  90002,$293422.00,2798,7,3,1996,20176049010025,2016-06-13,house,no,"(33.949889899999995, -118.25043623000001)"
145996,90002,9415 ZAMORA AVE  LOS ANGELES CA  90002,$21793.00,1416,4,2,1918,20176049011020,2016-06-29,house,no,"(33.950776640000001, -118.25137079999999)"
146004,90002,9515 PACE AVE  LOS ANGELES CA  90002,$229075.00,1266,2,1,1931,20176049013012,2016-06-15,house,no,"(33.949873240000002, -118.25330536)"
146007,90002,9716 S CENTRAL AVE  LOS ANGELES CA  90002,$346800.00,1616,0,0,1927,20176049014017,2016-06-13,house,no,"(33.948033680000002, -118.25372898000001)"
146020,90002,1226 E 99TH ST  LOS ANGELES CA  90002,$306000.00,1080,2,1,1916,20176049021039,2016-06-08,house,no,"(33.946726949999999, -118.25292419)"
146030,90002,1108 E 102ND ST  LOS ANGELES CA  90002,$249900.00,1337,3,2,1955,20176049026022,2016-06-03,house,no,"(33.943890189999998, -118.25612911)"
146034,90002,1104 E 101ST ST  LOS ANGELES CA  90002,$304980.00,1010,2,1,1961,20176049027020,2016-06-24,house,no,"(33.944687729999998, -118.25623829999999)"
146039,90002,1101 E 101ST ST  LOS ANGELES CA  90002,$270300.00,626,2,1,1947,20176049028014,2016-06-23,house,no,"(33.945140309999999, -118.2563277)"
146067,90044,617 W 95TH ST  LOS ANGELES CA  90044,$357000.00,672,2,1,1924,20176050009019,2016-06-30,house,no,"(33.950465110000003, -118.26448664)"
146073,90002,847 E 95TH ST  LOS ANGELES CA  90002,$152078.00,923,2,1,1925,20176050011027,2016-06-21,house,no,"(33.950494990000003, -118.25917136)"
146075,90002,9429 CLOVIS AVE  LOS ANGELES CA  90002,$392700.00,1680,4,4,1949,20176050012001,2016-06-01,house,no,"(33.950381380000003, -118.25679995)"
146099,90002,815 E 98TH ST  LOS ANGELES CA  90002,$269340.00,848,2,2,1944,20176050022027,2016-06-01,house,no,"(33.947753059999997, -118.26023977)"
146102,90002,711 E 98TH ST  LOS ANGELES CA  90002,$211037.00,1077,2,1,1947,20176050023018,2016-06-17,house,no,"(33.94773988, -118.26254963)"
146118,90002,906 E CENTURY BLVD  LOS ANGELES CA  90002,$359040.00,1314,4,2,1958,20176050029002,2016-06-03,house,no,"(33.945254859999999, -118.25832490000001)"
146151,90002,707 E 104TH ST  LOS ANGELES CA  90002,$238094.00,972,3,1,1944,20176051002016,2016-06-29,house,no,"(33.942121440000001, -118.2626537)"
146159,90002,907 E 104TH ST  LOS ANGELES CA  90002,$260100.00,1050,3,2,1951,20176051008023,2016-06-15,house,no,"(33.942104929999999, -118.25838183)"
146170,90002,946 E 105TH ST  LOS ANGELES CA  90002,$325380.00,1166,2,1,1941,20176051017032,2016-06-20,house,no,"(33.940737859999999, -118.25707968)"
146178,90002,831 E 107TH ST  LOS ANGELES CA  90002,$278460.00,780,2,2,1930,20176051021008,2016-06-17,house,no,"(33.939518249999999, -118.2597492)"
146208,90003,123 E 99TH ST  LOS ANGELES CA  90003,$372300.00,1199,4,2,1957,20176052002027,2016-06-01,house,no,"(33.946738250000003, -118.27290169)"
146218,90003,106 E 94TH ST  LOS ANGELES CA  90003,$135002.00,700,3,1,1923,20176052006001,2016-06-08,house,no,"(33.950955049999997, -118.27355798000001)"
146243,90003,205 E 99TH ST  LOS ANGELES CA  90003,$346800.00,1056,4,1,1933,20176052015029,2016-06-15,house,no,"(33.946746349999998, -118.271413)"
146255,90003,333 E 99TH ST  LOS ANGELES CA  90003,$341700.00,1175,3,2,1954,20176052018023,2016-06-06,house,no,"(33.946758969999998, -118.26828580999999)"
146256,90003,322 E 97TH ST  LOS ANGELES CA  90003,$271624.00,1092,3,1,1951,20176052019010,2016-06-09,house,no,"(33.94805444, -118.26868107)"
146257,90003,332 E 97TH ST  LOS ANGELES CA  90003,$330064.00,1732,5,3,1950,20176052019013,2016-06-17,house,no,"(33.948055719999999, -118.26828539)"
146260,90003,329 E COLDEN AVE  LOS ANGELES CA  90003,$301821.00,1258,3,2,1938,20176052021019,2016-06-21,house,no,"(33.949494950000002, -118.26841365999999)"
146264,90003,420 E 92ND ST  LOS ANGELES CA  90003,$208343.00,1438,3,2,1945,20176052025010,2016-06-01,house,no,"(33.95262031, -118.26652471)"
146267,90003,433 E 94TH ST  LOS ANGELES CA  90003,$327420.00,1365,3,2,1954,20176052026029,2016-06-21,house,no,"(33.951369270000001, -118.26613206)"
146273,90003,407 E COLDEN AVE  LOS ANGELES CA  90003,$99539.00,950,2,1,1946,20176052028012,2016-06-27,house,no,"(33.94950034, -118.26702964)"
146277,90003,421 E 97TH ST  LOS ANGELES CA  90003,$386580.00,1716,3,2,1987,20176052029017,2016-06-06,house,no,"(33.948576920000001, -118.26650334999999)"
146291,90003,116 W 93RD ST  LOS ANGELES CA  90003,$423300.00,2019,4,2,1997,20176053001011,2016-06-03,house,no,"(33.951649570000001, -118.2746801)"
146318,90003,237 W 99TH ST  LOS ANGELES CA  90003,$367025.00,2148,8,4,1967,20176053016006,2016-06-24,house,no,"(33.946721500000002, -118.27746938)"
146334,90003,152 W 101ST ST  LOS ANGELES CA  90003,$583440.00,3274,8,4,2013,20176053026017,2016-06-06,house,no,"(33.944384329999998, -118.27574013)"
146350,90044,731 W 98TH ST  LOS ANGELES CA  90044,$357000.00,1294,2,1,1935,20176054003014,2016-06-09,house,no,"(33.947382300000001, -118.28808001)"
146367,90044,729 W 101ST ST  LOS ANGELES CA  90044,$510000.00,2266,4,2,1938,20176054010055,2016-06-24,house,no,"(33.94486766, -118.28799450000001)"
146392,90044,615 W 102ND ST  LOS ANGELES CA  90044,$263170.00,1121,2,2,1930,20176054018011,2016-06-06,house,no,"(33.943997869999997, -118.28546683)"
146393,90044,611 W 102ND ST  LOS ANGELES CA  90044,$367200.00,1464,2,2,1922,20176054018012,2016-06-23,house,no,"(33.943998430000001, -118.28533166)"
146396,90044,10022 S HOOVER ST  LOS ANGELES CA  90044,$133506.00,2040,4,4,1949,20176054019015,2016-06-27,house,no,"(33.944852740000002, -118.28660038)"
146399,90044,10012 DENVER AVE  LOS ANGELES CA  90044,$402900.00,1622,3,2,1929,20176054020017,2016-06-10,house,no,"(33.94487144, -118.28459406)"
146403,90044,"607 W CENTURY BLVD, NO 1  LOS ANGELES CA  90044",$530400.00,2332,8,4,1964,20176054022010,2016-06-20,house,no,"(33.945820329999997, -118.28500784000001)"
146406,90044,601 W 99TH ST  LOS ANGELES CA  90044,$265200.00,876,2,1,1930,20176054023015,2016-06-20,house,no,"(33.946705850000001, -118.28482679)"
146412,90044,637 W 98TH ST  LOS ANGELES CA  90044,$280602.00,1290,3,1,1943,20176054026026,2016-06-16,house,no,"(33.947607929999997, -118.28601553999999)"
146417,90003,408 W 98TH ST  LOS ANGELES CA  90003,$306000.00,804,2,1,1928,20176054031003,2016-06-03,house,no,"(33.947038910000003, -118.28073488)"
146434,90047,9428 S HARVARD BLVD  LOS ANGELES CA  90047,$499800.00,1836,3,1,1925,20176055002005,2016-06-28,house,no,"(33.95024257, -118.30647896000001)"
146439,90047,1528 W 92ND ST  LOS ANGELES CA  90047,$450840.00,1381,3,2,1940,20176055004042,2016-06-16,house,no,"(33.952459509999997, -118.3035967)"
146444,90047,1429 W 93RD ST  LOS ANGELES CA  90047,$345778.00,1684,3,3,1933,20176055007016,2016-06-06,house,no,"(33.952156160000001, -118.30139536)"
146461,90047,1448 W 99TH ST  LOS ANGELES CA  90047,$127500.00,0,0,0,0,20176055014040,2016-06-03,house,no,"(33.94574257, -118.30202504)"
146507,90044,1200 W 92ND ST  LOS ANGELES CA  90044,$270300.00,807,2,1,1915,20176056002018,2016-06-24,house,no,"(33.953017240000001, -118.29607565000001)"
146511,90044,1114 W 92ND ST  LOS ANGELES CA  90044,$971744.00,7027,12,10,1965,20176056003013,2016-06-13,house,no,"(33.953008859999997, -118.29439289)"
146553,90044,1201 W 98TH ST  LOS ANGELES CA  90044,$331500.00,936,2,1,1923,20176056016049,2016-06-01,house,no,"(33.947162480000003, -118.29609815000001)"
146554,90044,1220 W 98TH ST  LOS ANGELES CA  90044,$433500.00,1670,4,2,1926,20176056017005,2016-06-30,house,no,"(33.94657874, -118.296768)"
146558,90044,1326 W 98TH ST  LOS ANGELES CA  90044,$469200.00,2350,5,4,1940,20176056017019,2016-06-15,house,no,"(33.946571830000003, -118.29907605)"
146607,90047,1931 W 95TH ST  LOS ANGELES CA  90047,$423300.00,1003,3,1,1944,20176057016015,2016-06-07,house,no,"(33.95001663, -118.31253107000001)"
146613,90047,2116 W 95TH ST  LOS ANGELES CA  90047,$437000.00,1453,5,2,1972,20176057018003,2016-06-10,house,no,"(33.949591570000003, -118.31619182999999)"
146617,90047,9727 HAAS AVE  LOS ANGELES CA  90047,$49593.00,1257,3,1,1947,20176057019011,2016-06-03,house,no,"(33.94755112, -118.31698305)"
146625,90047,10210 S WILTON PL  LOS ANGELES CA  90047,$387600.00,1808,4,2,1947,20176058002026,2016-06-15,house,no,"(33.943537910000003, -118.31403376)"
146657,90047,10521 RUTHELEN ST  LOS ANGELES CA  90047,$236163.00,3215,4,4,1968,20176058020010,2016-06-29,house,no,"(33.940312799999994, -118.31261521)"
146682,90047,2116 W 107TH ST  LOS ANGELES CA  90047,$322153.00,1577,3,2,1959,20176058030007,2016-06-28,house,no,"(33.938791029999997, -118.31648668)"
146690,90047,10006 S HOBART BLVD  LOS ANGELES CA  90047,$350671.00,1351,3,2,1970,20176059002002,2016-06-03,house,no,"(33.945130229999997, -118.30754017)"
146696,90047,10210 LA SALLE AVE  LOS ANGELES CA  90047,$307699.00,1704,3,2,1950,20176059004013,2016-06-08,house,no,"(33.943625279999999, -118.30540861999999)"
146754,90047,1409 W 103RD ST  LOS ANGELES CA  90047,$207974.00,3199,5,4,1965,20176059024022,2016-06-01,house,no,"(33.943463100000002, -118.30070972)"
146807,90044,1114 W 102ND ST  LOS ANGELES CA  90044,$51705.00,1948,4,3,1953,20176060023010,2016-06-27,house,no,"(33.943843870000002, -118.29452977)"
146809,90044,1139 W 102ND ST  LOS ANGELES CA  90044,$479400.00,2413,4,3,1963,20176060025019,2016-06-03,house,no,"(33.94435112, -118.29526562)"
146819,90044,827 W 104TH ST  LOS ANGELES CA  90044,$43038.00,1198,3,2,1927,20176061001025,2016-06-14,house,no,"(33.94254265, -118.29044249)"
146825,90044,812 W 105TH ST  LOS ANGELES CA  90044,$318240.00,1040,2,1,1932,20176061004017,2016-06-21,house,no,"(33.940468019999997, -118.28991942)"
146830,90044,833 W 108TH ST  LOS ANGELES CA  90044,$220499.00,896,2,1,1957,20176061006021,2016-06-24,house,no,"(33.938485239999999, -118.29058306)"
146851,90044,748 W 103RD ST  LOS ANGELES CA  90044,$367200.00,1328,2,2,1953,20176061014012,2016-06-24,house,no,"(33.942825880000001, -118.28878184)"
146860,90044,600 W 104TH PL  LOS ANGELES CA  90044,$244800.00,1070,2,1,1937,20176061017018,2016-06-10,house,no,"(33.941298700000004, -118.28494944000001)"
146872,90044,650 W 108TH ST  LOS ANGELES CA  90044,$331065.00,4437,0,0,1965,20176061021002,2016-06-24,house,no,"(33.93795128, -118.28659961)"
146876,90044,524 W 106TH ST  LOS ANGELES CA  90044,$326400.00,1292,3,1,1925,20176061024009,2016-06-21,house,no,"(33.939680129999999, -118.28357301)"
146881,90044,515 W 106TH ST  LOS ANGELES CA  90044,$89124.00,1243,2,1,1928,20176061025023,2016-06-29,house,no,"(33.940176860000001, -118.28330585)"
146883,90003,10501 S FIGUEROA ST  LOS ANGELES CA  90003,$406980.00,2000,4,4,1956,20176061025025,2016-06-03,house,no,"(33.940602409999997, -118.28293413)"
146891,90044,524 W 104TH ST  LOS ANGELES CA  90044,$33954.00,940,2,1,1937,20176061027008,2016-06-13,house,no,"(33.942107790000001, -118.2836381)"
146898,90003,412 W 104TH ST  LOS ANGELES CA  90003,$330480.00,2442,6,4,2004,20176061030004,2016-06-21,house,no,"(33.941640280000001, -118.28105556)"
146904,90003,440 W 105TH ST  LOS ANGELES CA  90003,$118936.00,686,2,1,1925,20176061031009,2016-06-08,house,no,"(33.940729509999997, -118.28187841)"
146914,90003,156 E CENTURY BLVD  LOS ANGELES CA  90003,$174697.00,850,2,1,1988,20176063001033,2016-06-27,house,no,"(33.945344700000007, -118.27187125)"
146927,90003,322 E 101ST ST  LOS ANGELES CA  90003,$68421.00,1203,2,2,1926,20176063006012,2016-06-24,house,no,"(33.944415569999997, -118.26868408999999)"
146930,90003,215 E 102ND ST  LOS ANGELES CA  90003,$65597.00,1680,3,2,1936,20176063007024,2016-06-21,house,no,"(33.944032530000001, -118.2711321)"
146940,90003,238 E 102ND ST  LOS ANGELES CA  90003,$402900.00,1560,4,2,1958,20176063010016,2016-06-30,house,no,"(33.943498869999999, -118.27025636)"
146941,90003,10220 WALL ST  LOS ANGELES CA  90003,$127164.00,288,1,1,1930,20176063010019,2016-06-22,house,no,"(33.943137589999999, -118.27150734999999)"
146973,90003,218 E 105TH ST  LOS ANGELES CA  90003,$22549.00,858,3,1,1934,20176063023005,2016-06-30,house,no,"(33.940785230000003, -118.27101854999999)"
146995,90003,334 E 107TH ST  LOS ANGELES CA  90003,$234000.00,825,2,1,1928,20176063030013,2016-06-30,house,no,"(33.939046189999999, -118.26827428)"
147002,90061,119 E 108TH ST  LOS ANGELES CA  90061,$26143.00,1068,1,1,1932,20176063032016,2016-06-10,house,no,"(33.938550380000002, -118.27315912)"
147035,90059,1317 E 108TH ST  LOS ANGELES CA  90059,$471240.00,1973,3,2,1950,20176065012018,2016-06-30,house,no,"(33.938112590000003, -118.25143272)"
147043,90002,10611 COMPTON AVE  LOS ANGELES CA  90002,$66729.00,1028,3,2,1999,20176065015006,2016-06-06,house,no,"(33.939289879999997, -118.24649117)"
147045,90002,1517 E 107TH ST  LOS ANGELES CA  90002,$306000.00,960,3,1,1914,20176065015025,2016-06-16,house,no,"(33.939071650000002, -118.2475132)"
147071,90059,1819 E 108TH ST  LOS ANGELES CA  90059,$215998.00,1248,3,2,1948,20176065036005,2016-06-24,house,no,"(33.938119639999996, -118.24002917)"
147103,90002,10525 HICKORY ST  LOS ANGELES CA  90002,$141129.00,1235,3,2,2000,20176066007048,2016-06-07,house,no,"(33.93982664, -118.23615035)"
147105,90002,10620 WEIGAND AVE  LOS ANGELES CA  90002,$255000.00,730,3,1,1946,20176066008040,2016-06-14,house,no,"(33.93916969, -118.22937985)"
147125,90002,10611 WEIGAND AVE  LOS ANGELES CA  90002,$357000.00,1704,3,1,1930,20176066014060,2016-06-17,house,no,"(33.939366829999997, -118.22991829999999)"
147153,90002,10617 GORMAN AVE  LOS ANGELES CA  90002,$330971.00,2280,6,3,2006,20176066020060,2016-06-17,house,no,"(33.939182559999999, -118.23095709)"
147158,90059,1941 E 115TH ST  LOS ANGELES CA  90059,$324360.00,2022,5,3,1982,20176067002028,2016-06-23,house,no,"(33.930802, -118.23752388)"
147175,90059,1918 SANTA ANA BLVD  LOS ANGELES CA  90059,$224400.00,792,2,1,1929,20176067006021,2016-06-22,house,no,"(33.937379489999998, -118.23829618000001)"
147178,90059,10966 WILMINGTON AVE  LOS ANGELES CA  90059,$293760.00,1197,3,2,1991,20176067006045,2016-06-01,house,no,"(33.935699370000002, -118.23871629999999)"
147187,90059,10975 HICKORY ST  LOS ANGELES CA  90059,$146102.00,1056,3,2,1940,20176067008022,2016-06-14,house,no,"(33.9353689, -118.23616171)"
147188,90059,10974 GRAPE ST  LOS ANGELES CA  90059,$290700.00,1459,4,1,1950,20176067008034,2016-06-03,house,no,"(33.935453879999997, -118.23663958)"
147191,90059,10984 GRAPE ST  LOS ANGELES CA  90059,$306000.00,1584,4,2,1989,20176067008058,2016-06-03,house,no,"(33.935213419999997, -118.23664014000001)"
147228,90059,2450 E 115TH ST  LOS ANGELES CA  90059,$295800.00,1350,3,2,1998,20176067021062,2016-06-16,house,no,"(33.930423560000001, -118.22839792000001)"
147230,90059,2025 SANTA ANA BLVD S  LOS ANGELES CA  90059,$233379.00,1748,3,3,1993,20176067023042,2016-06-10,house,no,"(33.936788730000004, -118.23630518)"
147255,90059,10727 KALMIA ST  LOS ANGELES CA  90059,$234600.00,691,2,1,1924,20176068006009,2016-06-30,house,no,"(33.938089920000003, -118.23217441)"
147257,90059,10829 KALMIA ST  LOS ANGELES CA  90059,$209100.00,514,3,1,1926,20176068007007,2016-06-15,house,no,"(33.936583839999997, -118.23262484999999)"
147260,90059,10814 JUNIPER ST  LOS ANGELES CA  90059,$271449.00,1900,4,2,1964,20176068007022,2016-06-20,house,no,"(33.937121470000001, -118.23283053999999)"
147273,90059,10834 GORMAN AVE  LOS ANGELES CA  90059,$270504.00,860,2,1,1926,20176068011038,2016-06-23,house,no,"(33.936212220000002, -118.23117825999999)"
147275,90059,10828 S GORMAN AVE  LOS ANGELES CA  90059,$260100.00,728,2,1,1990,20176068011050,2016-06-24,house,no,"(33.936345809999999, -118.23113769)"
147276,90059,10826 S GORMAN AVE  LOS ANGELES CA  90059,$102000.00,0,0,0,0,20176068011051,2016-06-24,house,no,"(33.936412420000003, -118.23111783)"
147322,90059,1751 E 112TH ST  LOS ANGELES CA  90059,$266220.00,784,2,1,1947,20176069018018,2016-06-16,house,no,"(33.933280200000006, -118.24240174000001)"
147324,90059,1701 E 113TH ST  LOS ANGELES CA  90059,$121349.00,2084,6,3,1963,20176069020005,2016-06-10,house,no,"(33.932341350000002, -118.24335507000001)"
147335,90059,1760 E 113TH ST  LOS ANGELES CA  90059,$377640.00,1428,4,2,1940,20176069024016,2016-06-17,house,no,"(33.931799980000001, -118.24202056)"
